Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
1/10/2019,51.4118,58.196,35.9003,26.3242,7.5246,64.8957
1/9/2019,51.8118,58.4808,35.7756,26.6229,7.5118,64.2492
1/8/2019,51.2384,58.196,35.9253,26.4735,7.4603,64.0532
1/7/2019,50.905,58.3159,36.0251,26.3702,7.5246,62.9952
1/4/2019,50.8917,57.6412,36.0376,26.4506,7.6018,61.4277
1/3/2019,50.985,56.4567,36.3994,26.7148,7.8334,58.7631
1/2/2019,50.9184,55.797,36.0126,25.9796,7.6147,58.6847
12/31/2018,50.4516,55.797,36.0501,25.7844,7.6018,58.9002
12/28/2018,50.0382,55.2572,35.9253,25.6925,7.5632,58.7827
12/27/2018,49.3314,55.1523,35.8255,25.3249,7.4088,58.5476
12/26/2018,49.3314,54.5076,35.5385,25.3249,7.293,58.6455
12/24/2018,49.4514,54.2827,35.8504,25.5776,7.3959,56.02
12/21/2018,49.7982,54.3576,35.6258,25.3939,7.3059,57.1956
12/20/2018,49.9449,54.8524,35.5759,25.4513,7.2287,57.9794
12/19/2018,50.4383,55.1373,35.5385,25.8074,7.2415,59.3705
12/18/2018,50.5583,55.3472,35.2391,25.5891,7.2158,60.8204
12/17/2018,50.0244,55.1845,35.0027,25.2632,7.1531,61.1108
12/14/2018,49.8649,54.9772,34.9405,25.0453,7.0439,62.1638
12/13/2018,50.0244,54.9476,34.9778,24.9536,6.9861,62.8463
12/12/2018,49.6256,54.5033,34.9654,24.9307,6.8833,62.4563
12/11/2018,49.466,54.2219,35.0525,25.1141,6.8961,61.9298
12/10/2018,49.2002,54.1183,35.1895,25.6187,6.9989,61.6373
12/7/2018,48.7482,54.1183,35.2393,25.9283,6.9989,61.5203
12/6/2018,48.7349,53.9702,35.0276,25.7448,6.8833,61.8323
12/4/2018,48.2829,53.5111,34.7786,25.7334,6.7805,62.3978
12/3/2018,48.2563,53.9554,34.3054,25.355,6.7034,63.4118
11/30/2018,47.7095,52.8872,34.2425,25.1197,6.7902,62.2929
11/29/2018,47.8023,52.548,33.9567,25.0968,6.7518,62.6229
11/28/2018,48.2263,52.8134,33.8325,24.364,6.7261,62.5841
11/27/2018,47.8288,50.9261,33.6834,24.2151,6.6876,61.2446
11/26/2018,48.0143,51.9877,33.6212,24.5472,6.6748,61.3223
11/23/2018,47.948,51.7666,33.6709,24.6846,6.662,60.5651
11/21/2018,47.8818,52.2974,33.5467,24.8793,6.6876,61.4581
11/20/2018,47.5637,51.6044,33.5715,24.9365,6.6876,60.6428
11/19/2018,47.9215,52.8429,33.41,25.1197,6.7133,61.1475
11/16/2018,48.0673,53.3811,33.3976,25.177,6.6235,61.6523
11/15/2018,47.7757,53.1526,33.236,24.6617,6.5465,62.1376
11/14/2018,48.054,53.7866,33.1491,24.5587,6.4952,62.1764
11/13/2018,48.4516,53.4917,32.9751,24.5472,6.4182,62.487
11/12/2018,48.6504,53.6834,32.9627,24.6503,6.4054,62.7588
11/9/2018,48.6637,54.2437,32.826,24.3869,6.3284,63.7683
11/8/2018,48.5576,54.1699,32.5899,24.0892,6.2771,64.7001
11/7/2018,48.995,54.745,32.6148,24.2609,6.29,65.1078
11/6/2018,48.6106,54.3764,32.2296,24.1693,6.3284,64.1566
11/5/2018,48.3588,54.5681,32.416,24.2151,6.3541,63.7295
11/2/2018,48.0938,54.1994,32.4533,23.9861,6.3156,63.5936
